Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1777019517,50,,Aggregated,18.400000,10.800000,1,2,2,2,4,6,15,30,91,160,160,1683,991,1,2.6026503093024926,0.4879579646512866,159.8753749858588,58.361853832442065
1777019518,50,,Aggregated,19.100000,11.100000,1,2,2,2,4,6,15,30,91,160,160,1695,997,1,2.5979665022859884,0.4879579646512866,159.8753749858588,58.37463126843658
1777019519,50,,Aggregated,18.400000,10.600000,1,2,2,2,4,6,15,30,91,160,160,1715,1006,1,2.585683996468761,0.4879579646512866,159.8753749858588,58.42099125364432
1777019520,50,,Aggregated,17.600000,10.100000,1,2,2,2,4,6,15,30,91,160,160,1733,1015,1,2.5728029745485284,0.4879579646512866,159.8753749858588,58.458742065781884
1777019521,50,,Aggregated,17.800000,10.000000,1,2,2,2,3,6,15,30,91,160,160,1754,1028,1,2.5644643265279297,0.4879579646512866,159.8753749858588,58.449258836944125
1777019522,50,,Aggregated,17.300000,9.300000,1,2,2,2,3,6,15,30,91,160,160,1773,1038,1,2.5592098209284164,0.4879579646512866,159.8753749858588,58.46813310772701
1777019523,50,,Aggregated,18.500000,10.100000,1,2,2,2,3,6,15,30,91,160,160,1782,1047,1,2.55457214065425,0.4879579646512866,159.8753749858588,58.34736251402918
1777019524,50,,Aggregated,18.200000,9.700000,1,2,2,2,3,6,14,30,91,160,160,1801,1059,1,2.5416302814281266,0.4879579646512866,159.8753749858588,58.34369794558579
1777019525,50,,Aggregated,17.400000,9.400000,1,2,2,2,3,6,14,30,91,160,160,1818,1068,1,2.540013596248517,0.4879579646512866,159.8753749858588,58.34873487348735
1777019526,50,,Aggregated,17.300000,9.800000,1,2,2,2,3,6,14,30,91,160,160,1838,1080,1,2.5320680134537525,0.4879579646512866,159.8753749858588,58.35799782372143
1777019527,50,,Aggregated,17.100000,9.700000,1,2,2,2,3,6,14,30,91,160,160,1850,1085,1,2.523920636032582,0.4879579646512866,159.8753749858588,58.436216216216216
1777019528,50,,Aggregated,17.000000,9.700000,1,2,2,2,3,6,13,30,91,160,160,1875,1096,1,2.510978206371268,0.4879579646512866,159.8753749858588,58.55466666666667
1777019529,50,,Aggregated,17.100000,9.500000,1,2,2,2,3,6,13,30,91,160,160,1893,1107,1,2.5011084548124383,0.4879579646512866,159.8753749858588,58.56576862123613
1777019530,50,,Aggregated,17.900000,9.700000,1,2,2,2,3,6,15,30,91,160,160,1916,1119,1,2.545599039998353,0.4879579646512866,159.8753749858588,58.64457202505219
1777019531,50,,Aggregated,18.200000,10.100000,1,2,2,2,3,6,15,30,91,160,160,1933,1127,1,2.5387065725057036,0.4879579646512866,159.8753749858588,58.692705638903256
1777019532,50,,Aggregated,18.300000,10.800000,1,2,2,2,3,6,14,30,91,160,160,1954,1139,1,2.5280059342431773,0.4879579646512866,159.8753749858588,58.675025588536336
1777019533,50,,Aggregated,17.700000,9.800000,1,2,2,2,3,6,14,30,91,160,160,1977,1156,1,2.51243410271168,0.4303749883547425,159.8753749858588,58.57663125948407
1777019534,50,,Aggregated,17.800000,9.800000,1,2,2,2,3,6,14,30,91,160,160,1999,1171,1,2.497536211315097,0.4303749883547425,159.8753749858588,58.48974487243622
1777019535,50,,Aggregated,19.300000,10.800000,1,2,2,2,3,6,13,29,83,160,160,2015,1177,1,2.494460365517763,0.4303749883547425,159.8753749858588,58.51265508684863
1777019536,50,,Aggregated,20.000000,11.300000,1,2,2,2,3,5,13,29,83,160,160,2041,1192,1,2.483587216956396,0.4303749883547425,159.8753749858588,58.507594316511515
1777019537,50,,Aggregated,20.000000,11.100000,1,2,2,2,3,5,13,29,83,160,160,2057,1201,1,2.4826409871675033,0.4303749883547425,159.8753749858588,58.48274185707341
1777019538,50,,Aggregated,20.300000,11.400000,1,2,2,2,3,5,13,29,83,160,160,2076,1214,1,2.4745227041813997,0.4303749883547425,159.8753749858588,58.5009633911368
1777019539,50,,Aggregated,20.300000,11.400000,1,2,2,2,3,5,13,29,83,160,160,2089,1224,1,2.471211071276851,0.4303749883547425,159.8753749858588,58.481570129248446
1777019540,50,,Aggregated,20.000000,11.800000,1,2,2,2,3,5,12,29,83,160,160,2110,1236,1,2.468351367695513,0.4303749883547425,159.8753749858588,58.49952606635071
1777019541,50,,Aggregated,19.400000,11.600000,1,2,2,2,3,5,12,29,83,160,160,2133,1250,1,2.455408270879043,0.4303749883547425,159.8753749858588,58.47163619315518
1777019542,50,,Aggregated,19.700000,11.600000,1,2,2,2,3,5,12,29,83,160,160,2147,1258,1,2.448121490857933,0.4303749883547425,159.8753749858588,58.46762925011644
1777019543,50,,Aggregated,19.900000,12.100000,1,2,2,2,3,5,12,29,83,160,160,2168,1272,1,2.4395424773189758,0.4303749883547425,159.8753749858588,58.497232472324725
1777019544,50,,Aggregated,19.900000,12.500000,1,2,2,2,3,5,12,29,83,160,160,2190,1290,1,2.434861380181628,0.4303749883547425,159.8753749858588,58.34337899543379
1777019545,50,,Aggregated,19.000000,11.500000,1,2,2,2,3,5,12,29,83,160,160,2214,1305,1,2.425596001295099,0.4303749883547425,159.8753749858588,58.35004516711834
1777019546,50,,Aggregated,18.900000,11.700000,1,2,2,2,3,5,12,29,83,160,160,2235,1318,1,2.413597895859655,0.4303749883547425,159.8753749858588,58.313199105145415
1777019547,50,,Aggregated,19.100000,12.200000,1,2,2,2,3,5,12,29,83,160,160,2256,1328,1,2.4094836392558796,0.4303749883547425,159.8753749858588,58.395390070921984
1777019548,50,,Aggregated,19.600000,12.700000,1,2,2,2,3,5,12,29,83,160,160,2270,1335,1,2.424290329566644,0.4303749883547425,159.8753749858588,58.401321585903084
1777019549,50,,Aggregated,19.600000,12.700000,1,2,2,2,3,5,12,29,83,160,160,2296,1349,1,2.416303518476883,0.4303749883547425,159.8753749858588,58.42203832752613
1777019550,50,,Aggregated,19.600000,12.200000,1,2,2,2,3,5,12,29,83,160,160,2315,1359,1,2.406906858931414,0.4303749883547425,159.8753749858588,58.42203023758099
1777019551,50,,Aggregated,20.200000,12.200000,1,2,2,2,3,5,12,29,83,160,160,2337,1374,1,2.3985486583219133,0.4303749883547425,159.8753749858588,58.39281129653402
1777019552,50,,Aggregated,20.800000,12.500000,1,2,2,2,3,5,11,29,83,160,160,2356,1385,1,2.391811157211089,0.4303749883547425,159.8753749858588,58.38412563667232
1777019553,50,,Aggregated,20.200000,12.200000,1,2,2,2,3,5,11,29,83,160,160,2378,1403,1,2.3851346397260165,0.4303749883547425,159.8753749858588,58.28637510513036
1777019554,50,,Aggregated,20.400000,12.300000,1,2,2,2,3,5,11,29,83,160,160,2393,1411,1,2.377943047647303,0.4303749883547425,159.8753749858588,58.27956539908065
1777019555,50,,Aggregated,20.800000,13.000000,1,2,2,2,3,5,11,28,83,160,160,2415,1425,1,2.3700416691150075,0.4303749883547425,159.8753749858588,58.2472049689441
1777019556,50,,Aggregated,20.200000,12.200000,1,2,2,2,3,5,11,28,83,160,160,2430,1432,1,2.375314885763827,0.4303749883547425,159.8753749858588,58.27736625514403
1777019557,50,,Aggregated,20.200000,11.900000,1,2,2,2,3,5,11,28,83,160,160,2452,1446,1,2.3661073985024164,0.4303749883547425,159.8753749858588,58.25938009787928
